,detector,n_features,step_size,codebook_size,n_neighbors,distance,train_accuracy,val_accuracy,std_train_accuracy,std_val_accuracy,train_f1_weighted,val_f1_weighted,std_train_f1_weighted,std_val_f1_weighted
0,dense_sift,100,10,64,13,manhattan,0.8121064420701194,0.764492426974396,0.005226885235142359,0.03681028144674877,0.8116404769788652,0.7627252504951796,0.005283883812466057,0.03806953077559407
1,dense_sift,100,10,96,23,manhattan,0.7998025516403402,0.7746168409664623,0.007168620765216692,0.0553354568343402,0.7988087912469319,0.7720519609867506,0.0072712543337444275,0.05743913204623692
2,dense_sift,100,10,128,15,manhattan,0.8174986242784387,0.7740781644428417,0.006462723454787066,0.03864104839411189,0.8165390416870766,0.7709838282777497,0.006497311742872002,0.03946053773627553
3,dense_sift,100,10,160,21,manhattan,0.8244097785180616,0.7942796610169491,0.0052524481288302146,0.04084876204711296,0.8232282096659942,0.7906296925177096,0.0055035218081688625,0.0424514770424157
4,dense_sift,100,20,64,15,manhattan,0.7540820151643295,0.7166426253155427,0.006652303577539454,0.0387431347756569,0.7519270694794402,0.712164490463083,0.0067219971452971055,0.04020317276081161
5,dense_sift,100,20,96,15,manhattan,0.7819541801622798,0.7426839163360981,0.006104871003310696,0.0398412894533507,0.7813237992889984,0.7399721148354212,0.006078662910639926,0.040834023369284336
6,dense_sift,100,20,128,15,manhattan,0.8071693097755634,0.7655540028849621,0.005830933838189394,0.04087156850132859,0.8067478116082581,0.7635817295744238,0.005877841906720404,0.041950006520740074
7,dense_sift,100,20,160,21,manhattan,0.795625020774319,0.7698093220338983,0.004564246495258298,0.03634305609616761,0.7947028411773316,0.7675179020135887,0.004587964671471689,0.037803986828272955
8,dense_sift,100,50,64,21,euclidean,0.6614265678609283,0.6230616660656328,0.007141461738920464,0.03570661044588142,0.6564290026674793,0.614881847649001,0.0070008494933230265,0.035611857429197674
9,dense_sift,100,50,96,15,euclidean,0.7100321032474416,0.6767670393076091,0.007317446274002272,0.05259432326546854,0.7084800820740962,0.6725748112996615,0.007567424122826694,0.0556100551119931
10,dense_sift,100,50,128,15,manhattan,0.7195257361495309,0.6953908222142084,0.0053748316874517674,0.042153321967919336,0.7176272344758914,0.691449001584753,0.005431244196431726,0.04420745019233189
11,dense_sift,100,50,160,9,euclidean,0.7464115826522435,0.6974981968986658,0.005040753656789112,0.03968011958925713,0.7457146888517254,0.6940741118413155,0.005036539510904678,0.040945337157791924
12,dense_sift,100,70,64,13,euclidean,0.6384896423862583,0.5863910926794086,0.006874205367265334,0.035187784421745236,0.634719684379054,0.5802026332633977,0.0071499655109475545,0.03589866761159213
