Descriptor,Spatial pyramid level,Codebook size,Step size,KP Scale,PCA perc,Accuracy
DENSE SIFT,0,1000,5,1,1,0.7783199603317705
DENSE SIFT,0,1000,5,2,1,0.7831071943743239
DENSE SIFT,0,1000,5,3,1,0.7836368553912729
DENSE SIFT,0,1000,5,6,1,0.7751307248467364
DENSE SIFT,0,1000,5,10,1,0.7708799134511359
DENSE SIFT,0,1000,8,1,1,0.7969212044716913
DENSE SIFT,0,1000,8,2,1,0.8011900468806346
DENSE SIFT,0,1000,8,3,1,0.800119455463397
DENSE SIFT,0,1000,8,6,1,0.7953254597908402
DENSE SIFT,0,1000,8,10,1,0.7974576271186441
DENSE SIFT,0,1000,10,1,1,0.8150108186080058
DENSE SIFT,0,1000,10,2,1,0.8235034258925352
DENSE SIFT,0,1000,10,3,1,0.8128786512802019
DENSE SIFT,0,1000,10,6,1,0.8128831590335377
DENSE SIFT,0,1000,10,10,1,0.8102213306887847
DENSE SIFT,0,1000,12,1,1,0.8240421024161557
DENSE SIFT,0,1000,12,2,1,0.8197935448972232
DENSE SIFT,0,1000,12,3,1,0.8240353407861523
DENSE SIFT,0,1000,12,6,1,0.8213825279480707
DENSE SIFT,0,1000,12,10,1,0.8160769022719077
DENSE SIFT,0,1000,15,1,1,0.8219144428416878
DENSE SIFT,0,1000,15,2,1,0.8309637576631806
DENSE SIFT,0,1000,15,3,1,0.8293499819689867
DENSE SIFT,0,1000,15,6,1,0.837860620266859
DENSE SIFT,0,1000,15,10,1,0.8357194374323836
DENSE SIFT,0,1000,20,1,1,0.8373354670032456
DENSE SIFT,0,1000,20,2,1,0.8410656328885684
DENSE SIFT,0,1000,20,3,1,0.841586278398846
DENSE SIFT,0,1000,20,6,1,0.8484944103858637
DENSE SIFT,0,1000,20,10,1,0.8421272087991345
DENSE SIFT,0,1000,30,1,1,0.817668139199423
DENSE SIFT,0,1000,30,2,1,0.8325437252073566
DENSE SIFT,0,1000,30,3,1,0.8394676343310493
DENSE SIFT,0,1000,30,6,1,0.8410521096285611
DENSE SIFT,0,1000,30,10,1,0.8421204471691309
