,detector,n_features,step_size,codebook_size,n_neighbors,distance,train_accuracy,val_accuracy,std_train_accuracy,std_val_accuracy,train_f1_weighted,val_f1_weighted,std_train_f1_weighted,std_val_f1_weighted
0,sift,100,-,32,13,manhattan,0.5127969804296684,0.4093648575549946,0.006306883977361908,0.022925337854130062,0.5016018592483907,0.3907464811005327,0.006555983622110474,0.026243820362818606
1,sift,100,-,64,13,manhattan,0.516291267030325,0.4221240533717995,0.0062752507793040245,0.02455068637325709,0.5039438837589315,0.4021835939802456,0.007332398779149968,0.02651691747481292
2,sift,100,-,128,13,euclidean,0.5383914952708417,0.4322214208438514,0.005314064165598505,0.02680383366363156,0.5300385056097248,0.4190761522587151,0.004719071206715051,0.0325575903650947
3,sift,200,-,32,15,manhattan,0.5684672615200523,0.48220564370717633,0.005919938043356028,0.01660635145124177,0.5555617995423435,0.46364725731466105,0.006771731857119377,0.02006273235549977
4,sift,200,-,64,13,manhattan,0.596643654876702,0.5157027587450415,0.0048106475896236385,0.030374195209242474,0.5836033941224816,0.49862735526466484,0.005282947798395284,0.029520579483475497
5,sift,200,-,128,15,euclidean,0.579326736640728,0.49285521096285606,0.006395435620035178,0.048681857550475056,0.5658835448050581,0.4721300584830807,0.007218160266558478,0.05469594153854582
6,sift,300,-,32,15,manhattan,0.5634547876956941,0.4843265416516408,0.00750528723086564,0.01988407909804443,0.5509518818298567,0.465483356282376,0.007434422887698162,0.017192530878707684
7,sift,300,-,64,15,manhattan,0.609327022864677,0.5401685899747566,0.00616831430175941,0.03784494266251383,0.5945983592908264,0.5154214369086189,0.00635767436439347,0.04193704789253502
8,sift,300,-,128,15,euclidean,0.6270224030254794,0.5539938694554634,0.005459020013071941,0.048183853421701256,0.6161283007868421,0.5368321503348457,0.006475982431851696,0.052806567851802995
9,akaze,100,-,32,13,euclidean,0.4704132831805403,0.3634198121859066,0.005996698670162153,0.04695152165662585,0.45984570635289646,0.3437288933557501,0.007264064160365163,0.043043777239358115
10,akaze,100,-,64,13,euclidean,0.4454449922913576,0.3404588973258501,0.006483064140535335,0.03397206656631386,0.43469452098684447,0.32505035976878205,0.006373776561933315,0.03517282118680179
11,akaze,100,-,128,13,euclidean,0.43002248633739165,0.3191028392208649,0.00632672926645665,0.039363486027341556,0.41969780114359334,0.29525034276337925,0.005965483496652015,0.03773456827097917
12,akaze,200,-,32,15,euclidean,0.46254893887758886,0.36129681596419794,0.00637955334675479,0.03384146825317743,0.45279288721454836,0.34728773768032795,0.007628220945102045,0.033669524189234544
13,akaze,200,-,64,13,euclidean,0.4566694208187794,0.3474056344228018,0.007515235920506315,0.0360960869517173,0.448677723708818,0.33304198814362374,0.007151787468032977,0.032204986780844144
14,akaze,200,-,128,9,euclidean,0.4556009048984003,0.33672416639154834,0.008666411969832694,0.04545736469977101,0.4462860882108831,0.3176159719970275,0.008465002036598787,0.043512752739676516
15,akaze,300,-,32,15,manhattan,0.4707949859141063,0.3725170573346539,0.009275102304859591,0.025163650830163628,0.4630336090852083,0.3579038795132888,0.00927635603359626,0.02532420474230098
16,akaze,300,-,64,15,euclidean,0.4612496205348985,0.3639769267451671,0.010119463164450514,0.028383446565945117,0.4513949361732065,0.3453540179767416,0.010998115886750696,0.028408011967799386
17,akaze,300,-,128,13,euclidean,0.4340691972793378,0.3356603756281868,0.00565566060086561,0.051222299628753014,0.4276071661227388,0.3167746953020823,0.005948755878369922,0.04837879253219107
18,dense_sift,100,50,32,15,manhattan,0.6404651877813765,0.5927808330328164,0.006369719771037349,0.016831832496925842,0.6339406976475834,0.5837716090450329,0.005818941306124335,0.018087495094527114
19,dense_sift,100,50,64,15,euclidean,0.669780844785369,0.6209430219978362,0.006843875911799763,0.041361933156840155,0.6665909084651608,0.6157572673101118,0.007103731987778122,0.04091931078686945
20,dense_sift,100,50,128,15,manhattan,0.7195257361495309,0.6953908222142084,0.0053748316874517674,0.042153321967919336,0.7176272344758914,0.691449001584753,0.005431244196431726,0.04420745019233189
21,dense_sift,100,100,32,15,euclidean,0.5412016143030725,0.49708348359177784,0.0071375503929857346,0.0343027527158722,0.5329730218293542,0.48564270285505307,0.01347522856315211,0.037428339567296263
22,dense_sift,100,100,64,15,euclidean,0.6615030635195573,0.6161738189686261,0.00915616368343891,0.027121059684404585,0.6607687995101674,0.6126026448905055,0.009151448231056219,0.02890781363638825
23,dense_sift,100,100,128,15,euclidean,0.6928688226408684,0.6634871979805265,0.007252766655005007,0.04063538790917263,0.6924140029485066,0.6616662407952343,0.007371065284746289,0.043334418898016355
24,dense_sift,100,150,32,13,manhattan,0.5955049913763495,0.5385728452939055,0.013151897470468467,0.027752552595064695,0.5913738813593682,0.5305460825378215,0.012935129500054857,0.030180415532527528
25,dense_sift,100,150,64,13,euclidean,0.6574763542086,0.6145668049044357,0.004534281633882086,0.024981473531500285,0.6575299071126309,0.6132202495602348,0.0047902546075354055,0.02650378360101711
26,dense_sift,100,150,128,15,euclidean,0.672666213017096,0.6220226289217454,0.007513967095097533,0.04020335478212876,0.6720530729825289,0.6202518685381996,0.00731973273297483,0.04135888289811141
27,dense_sift,200,50,32,15,manhattan,0.6404651877813765,0.5927808330328164,0.006369719771037349,0.016831832496925842,0.6339406976475834,0.5837716090450329,0.005818941306124335,0.018087495094527114
28,dense_sift,200,50,64,15,euclidean,0.669780844785369,0.6209430219978362,0.006843875911799763,0.041361933156840155,0.6665909084651608,0.6157572673101118,0.007103731987778122,0.04091931078686945
29,dense_sift,200,50,128,15,manhattan,0.7195257361495309,0.6953908222142084,0.0053748316874517674,0.042153321967919336,0.7176272344758914,0.691449001584753,0.005431244196431726,0.04420745019233189
30,dense_sift,200,100,32,15,euclidean,0.5412016143030725,0.49708348359177784,0.0071375503929857346,0.0343027527158722,0.5329730218293542,0.48564270285505307,0.01347522856315211,0.037428339567296263
31,dense_sift,200,100,64,15,euclidean,0.6615030635195573,0.6161738189686261,0.00915616368343891,0.027121059684404585,0.6607687995101674,0.6126026448905055,0.009151448231056219,0.02890781363638825
32,dense_sift,200,100,128,15,euclidean,0.6928688226408684,0.6634871979805265,0.007252766655005007,0.04063538790917263,0.6924140029485066,0.6616662407952343,0.007371065284746289,0.043334418898016355
33,dense_sift,200,150,32,13,manhattan,0.5955049913763495,0.5385728452939055,0.013151897470468467,0.027752552595064695,0.5913738813593682,0.5305460825378215,0.012935129500054857,0.030180415532527528
34,dense_sift,200,150,64,13,euclidean,0.6574763542086,0.6145668049044357,0.004534281633882086,0.024981473531500285,0.6575299071126309,0.6132202495602348,0.0047902546075354055,0.02650378360101711
35,dense_sift,200,150,128,15,euclidean,0.672666213017096,0.6220226289217454,0.007513967095097533,0.04020335478212876,0.6720530729825289,0.6202518685381996,0.00731973273297483,0.04135888289811141
36,dense_sift,300,50,32,15,manhattan,0.6404651877813765,0.5927808330328164,0.006369719771037349,0.016831832496925842,0.6339406976475834,0.5837716090450329,0.005818941306124335,0.018087495094527114
37,dense_sift,300,50,64,15,euclidean,0.669780844785369,0.6209430219978362,0.006843875911799763,0.041361933156840155,0.6665909084651608,0.6157572673101118,0.007103731987778122,0.04091931078686945
38,dense_sift,300,50,128,15,manhattan,0.7195257361495309,0.6953908222142084,0.0053748316874517674,0.042153321967919336,0.7176272344758914,0.691449001584753,0.005431244196431726,0.04420745019233189
39,dense_sift,300,100,32,15,euclidean,0.5412016143030725,0.49708348359177784,0.0071375503929857346,0.0343027527158722,0.5329730218293542,0.48564270285505307,0.01347522856315211,0.037428339567296263
40,dense_sift,300,100,64,15,euclidean,0.6615030635195573,0.6161738189686261,0.00915616368343891,0.027121059684404585,0.6607687995101674,0.6126026448905055,0.009151448231056219,0.02890781363638825
41,dense_sift,300,100,128,15,euclidean,0.6928688226408684,0.6634871979805265,0.007252766655005007,0.04063538790917263,0.6924140029485066,0.6616662407952343,0.007371065284746289,0.043334418898016355
42,dense_sift,300,150,32,13,manhattan,0.5955049913763495,0.5385728452939055,0.013151897470468467,0.027752552595064695,0.5913738813593682,0.5305460825378215,0.012935129500054857,0.030180415532527528
43,dense_sift,300,150,64,13,euclidean,0.6574763542086,0.6145668049044357,0.004534281633882086,0.024981473531500285,0.6575299071126309,0.6132202495602348,0.0047902546075354055,0.02650378360101711
44,dense_sift,300,150,128,15,euclidean,0.672666213017096,0.6220226289217454,0.007513967095097533,0.04020335478212876,0.6720530729825289,0.6202518685381996,0.00731973273297483,0.04135888289811141
